"no","company_name","status","license_no","expiry_date","address","country","email","phone_no","vat_certificate"
"11328","Q Communications DMCC","Active","JLT - 66904","03/21/2017 00:00:00","1107HDS Tower Jumeirah Lake Towers  Dubai 634314","AE","clare.g@qcomms.ae","971569373451",""
"11329","STRATEGIC MARKETING & EXHIBITIONS HONGKONG CO","Active","440105000102557","01/01/2029 00:00:00","Rm 1406 Choice Palaza Guangzhou South Avenue  Guangzhou 1406","CN","frances@strategic.ae","862028022087",""
"11331","Ginny's JLT","Active","2976","07/27/2020 00:00:00","Dafza shop #DP-13 Mezzanine floor food court west wing building 1 Dubai 51043","AE","hashita@gforme.ae","971042522121","100385942600003"
"11333","i General Trading  L.L.C","Active","549255","09/22/2020 00:00:00","Grosvenors Commercial Tower 29 th Floor Room 2913 Sheikh Zayed Road Dubai  Dubai 73555","AE","info@igt.ae","97143257777","100018673200003"
"11334","Microhard Infotech L.L.C","Active","238283","06/24/2022 00:00:00","1105 Le SolariumDubai Silicon Oasis  Dubai 116361","AE","admin@mhidubai.com","971043208308","100381547700003"
"11335","Explorer Publishing & Distribution LLC","Active","556078","04/16/2022 00:00:00","Street 1 Al Quoz Ind 3 Dubai UAE Dubai 34275","AE","info@askexplorer.com","97143408805","100012206700003"
"11336","Focus Training Centre L.L.C.","Active","CN1379130","02/15/2022 00:00:00","602 Golden Tower Building Electra Street Abu Dhabi 322","AE","info@focusonpeople.com","97126433384","100022972200003"
"11337","Mesoft Business Solutions LLC","Active","526002","05/05/2022 00:00:00","Mona trading BuildingAirport Road  Dubai 5012","AE","info@mesoft.ae","97142829613","100320156100003"
"11338","Nirsun Technology LLC","Active","526111","04/17/2020 00:00:00","#301 Third floor Bank Mili Iran Building Khalid bin Al Waleed (raa) street Bur Dubai Dubai Dubai 28437","AE","ammar@nirsun.com","97143939334","100053792600003"
"11340","IDEA FOR LIFE MANAGEMENT CONSULTANCY SERVICES","Active","620550","12/28/2016 00:00:00","407/A Toyota Building Sheikh Zayed Road. P.O. Box: 75509. Dubai UAE 704/A Toyota Building Sheikh Zayed Road. P.O. Box: 75509. Dubai UAE Dubai 75509","AE","ashok@ideaforlife.ae","97143434070",""
"11341","Aura Interiors LLC","Active","721941","11/30/2016 00:00:00","Al mulla warehouse community warehouse 16 Al Quoz 3 Dubai  Dubai 118818","AE","bhawana@aurainteriors-me.com","97143219197",""
"11344","Morison Menon Corporate Services","Active","631931","11/23/2016 00:00:00","Level 15 Lake Central - At the Bay Business Bay Dubai-UAE  Dubai 125365","AE","dubai@morisonmenon.com","97142762233",""
"11345","SFFECO GLOBAL","Active","7793","11/11/2016 00:00:00","JAFZA South JAFZA South Dubai 261318","AE","emad@sffecoglobal.com","97104880 9890",""
"11346","Al Najma Al Fareeda Group","Active","582261","06/05/2016 00:00:00","Al rigga road Deira Dubai 83808","AE","info@alfareedagroupintl.com","97142954961",""
"11347","TECHNOSTREAM FZCO","Active","446","07/06/2022 00:00:00","WAREHOUSE NO. I 13 DUBAI AIRPORT FREE ZONE  DUBAI 54582","AE","info@technostream.ae","971042994111","100298281500003"
"11348","Insights Intelligence FZC","Active","17576","01/15/2019 00:00:00","Office No:135 Business Center 6RAK FTZ Authority  Ras al-Khaimah 514924","AE","gg@insightsbi.com","971553117020",""
"11349","Kimoha Entrepreneurs Ltd","Active","427","11/04/2016 00:00:00","JAFZA SOUTH JAFZA SOUTH DUBAI 16828","AE","laurance@kimoha.com","97148807787",""
"11351","Idea Imagine General Trading LLC","Active","693955","08/20/2016 00:00:00","Office 2007 20th floor DAMAC XL Tower Business Bay PO Box 26580 Dubai 26580","AE","audrey@idea-imagine.com","971504216700",""
"11352","Al Mahbara Office Equipment Trading","Active","CN-1021216","08/16/2017 00:00:00","P.O. BOX: 32941 ALI AL HASSAN RUMAITHY BLDG. HAMDAN STREET  ABU DHABI 32941","AE","sales.auh@almoe.com","97126327686",""
"11353","Around The World Clocks & Gifts","Active","61394","09/12/2016 00:00:00","villa 1 Al Mushereif ajman ajman 22789","AE","tawfiq.alnazer@betait.net","9716749778",""
"11355","Global Experience Specialists Exhibition Services","Active","628616","08/25/2020 00:00:00","Plot 597 Street 3 Dubai Investment Park - 2  Dubai 282786","AE","contactus@ges.com","971048859336","100046831200003"
"11358","Beta Information Technology L.L.C","Active","512323","06/01/2022 00:00:00","Deira Baniyas Dubai 19085","AE","tawfiq.alnazer@betait.net","97147061137","100031567900003"
"11359","DEVELOPERS BUILDING CONTRACTING L.L.C","Active","711852","06/09/2016 00:00:00","IT PLAZA # 1406 DUBAI SILICON OASIS  Dubai 127860","AE","info@dbc-limited.com","971043207172",""
"11360","FSI(FM Solutions) Middle East FZ LLC","Active","17600","09/30/2022 00:00:00","Office 2113 Shatha Tower Dubai Media City Dubai 213674","AE","karen.moore@fsime.ae","97144495380","100346215500003"
"11361","ixtel Technologies","Active","672458","06/18/2021 00:00:00","TECHNO HUB 2 201-208 DUBAI SILICON OASIS  Dubai 77491","AE","INFO@IXTEL.COM","97143423366","100387415100003"
"11363","TGP LLC","Active","129865","10/11/2021 00:00:00","National Industries Park  Dubai 65588","AE","info@arenamea.com","97143322333","100030192700003"
"11364","Qordoba","Active","91196","09/20/2016 00:00:00","Office G03  Building 11 Dubai Internet City  Dubai 502735","AE","sales@qordoba.com","971044278128",""
"11367","INTEGRALTECH NETWORKS LLS","Active","552522","01/11/2020 00:00:00","208 HADI PLAZAAL RIGGA  DUBAI 40378","AE","jay@integralnetworks.ae","971480560","100377626500003"
"11368","DOYEN Infosolutions","Active","649739","02/05/2022 00:00:00","1602 16th Floor Mussalla Office Tower Khalid Bin Al Waleed Road Bur Dubai PO Box. 237852 Dubai UAE  Dubai 237852","AE","finance.ae@doyeninfosolutions.com","97142383906","100378719700003"
"11371","Alawali Electronics & Electricals L.L.C","Active","636855","03/22/2022 00:00:00","Office No.106 Al Thani Bldg. Al Qusais Dubai UAE  Dubai 47454","AE","info@alawali.ae","97143558049","100345258600003"
"11372","HAWAGAZ DOORS","Active","626904","03/03/2017 00:00:00","CHAVI BLDG BUTEENA SHARJAH 77280","AE","INFO@HAWAGSAUTOMATICDOORS.COM","97165671370",""
"11373","HUMANSPACE OFFICE FURNISHING LLC","Active","619205","11/15/2021 00:00:00","P.O Box 115033 31st Floor Media One Hotel Dubai Media City Dubai UAE  Dubai Media City 115033","AE","info@humanspace.com","97144561668","100007958000003"
"11374","Moon Bus Rental LLC","Active","579268","03/21/2019 00:00:00","Al Qusais 4  Dubai 125220","AE","abdullah@moonbusrental.com","971504744119",""
"11375","PROXIMO EVENTS MANAGEMENT SERVICES","Active","725658","01/25/2017 00:00:00","Office 212 Alkazim Group Bldg.Algarhood  Dubai 77352","AE","mhk@proximouae.com","97142820300",""
"11376","RMB READY CONCRETE MANUFACTURING","Active","689875","06/02/2016 00:00:00","Jebel Ali  Dubai 31026","AE","info@rmbreadymix.com","971048812883",""
"11377","H2O Concepts LLC","Active","545294","05/20/2022 00:00:00","CBD Building Showroom 1Sheikh Zayed Road Dubai  Dubai 37843","AE","jali@hoconcepts.com","971043397099","100036731600003"
"11378","Green Curve Interiors LLC","Active","582728","06/18/2022 00:00:00","Office # 123 Al Mardoof Building Al Safa 1 Dubai 124738","AE","zameer@greencurve.net","97143809985","100251598700003"
"11379","Marlin Furniture LLC","Active","500590","07/13/2021 00:00:00","PO BOX 50579  DUBAI 50579","AE","christensen@marlinfurniture.ae","97143377152","100051829800003"
"11381","Epic FZ LLC","Active","1303/2011 VCC","04/30/2022 00:00:00","Office 430 Al Sahaa OfficesSouk Al Bahar Burj Khalifa DistrictDowntown  Dubai 4422","AE","maha@epicevents.ae","971506520068","100380908200003"
"11382","Our Media Produciton","Active","696906","10/20/2021 00:00:00","Villa 8 KML Business Center AL Meydan Street AL Quoz -1  Dubai 10468","AE","info@ourmediauae.com","97143389622","100400012900003"
"11383","FALAKNAZ - THE WAREHOUSE (LLC)","Active","511003","03/21/2019 00:00:00","AL SHAFAR INVESTMENT BLDGGROUND FLOORALQUOZ 1  Dubai 37920","AE","contract@fgehouse.ae","97143883961","100033443100003"
"11384","REVIN MANAGEMENT CONSUL TANCY & LEGAL TRANSLATION","Active","520038","03/16/2022 00:00:00","Al Wahda Emirates Post Office 1/F Flat 102  Sharjah 28576-DXB","AE","uaerevin@eim.ae","971568329905","100298127000003"
"11385","Hyatt Regency Creek Heights","Active","720556","11/09/2016 00:00:00","P.O.Box 5668 Dubai U.A.EDubai Healthcare City P.O.Box 5668 Dubai U.A.EDubai Healthcare City Dubai 5668","AE","asif.habib@hyatt.com","97145531234",""
"11387","Expressions Flowers LLC","Active","549493","10/03/2021 00:00:00","New Al Safiyah Building G-16 Next to Abuhail Metro Station Hor Al Anz Dubai 112190","AE","expressionsac@gmail.com","97142663603","100395008400003"
"11388","Mia Casa Interiors LLC","Active","643502","08/11/2016 00:00:00","2801 Liwa Heights Cluster W Jumeirah Lake Towers  Dubai 125832","AE","patricia@miacasainteriors.com","971043614678",""
"11389","BRANDRT ADVERTISING REQUISITES TRADING L.L.C","Active","733071","04/28/2017 00:00:00","UAE  DUBAI DSO  DUBAI 68452","AE","fuad@brandrtme.com","97143336653",""
"11390","FRENZY EVENTS","Active","562194","10/09/2021 00:00:00","Al Quoz 2 Al Qauoz 2 Dubai 38369","AE","frenzyuae@gmail.com","97143400588","100379645300003"
"11392","Smyth and Bradshaw Hr Consultancy","Active","714867","08/04/2019 00:00:00","1905The H Dubai Office Tower1 SZR 1905The H Dubai Office Tower1 SZR Dubai 500004","AE","khalil@smythandbradshaw.com","971565068084","100380694800003"
"11394","Princessa Flowers LLC","Active","699125","11/26/2016 00:00:00","Princessa Flowers LLcNear Airport Freezone Metro StationAl Twar 1Al Nahda RoadDubai Princessa Flowers LLcNear Airport Freezone Metro StationAl Twar 1Al Nahda RoadDubai Dubai 56845","AE","info@princessaflowers.com","97142616116","100395571100003"
"11395","CITY SOLAR ENERGY SYSTEMS INSTALLATION & MAINTENANCE L.L.C","Active","720925","11/15/2021 00:00:00","Al Barsha South Third Arjan Area Diamond Business Centre Block B2nd floor Flat 408  Dubai 35758","AE","info@citysolar.ae","971044305680","100351164700003"
"11396","Meirc Training & Consulting","Active","127960","07/30/2022 00:00:00","Business Bay Bay Square Bld 13  Dubai 5883","AE","akhleif@meirc.com","97145567171","100239834300003"
"11397","Almoe digital solutions","Active","562792","10/29/2021 00:00:00","Easa Saleh Al Gurg Building1st floor office101 Tariq Bin Zeyad StreetKarama  Dubai 14730","AE","vikram.a@almoe.com","971043378118","100251339600003"
"11398","New Smart Office automation","Active","609907","04/19/2022 00:00:00","Office No 604 Al Masaood Building Near Clock Tower Deira Dubai 28674","AE","sajitnair@newsmart.ae","97142392399","100001374600003"
"11399","Frost & Sullivan","Active","DMCC-187779","05/22/2019 00:00:00","Unit No: 2601 Swiss Tower Plot No JLT-PH2-Y3A Jumeirah Towers Duabi 33372","AE","NikhilS@frost.com","97144331893","100236676100003"
"11400","M-Engineering Inc","Active","580129","04/14/2022 00:00:00","2nd FLOOR SUITE  205RAWDAT AL WASL BUILDING. SHEIKH ZAYED ROAD Dubai 212479","AE","bfakhar@m-engineering.ae","97143433431","100336412000003"
"11401","Evolutionary Systems Arabia Fz LLC","Active","16398","07/31/2016 00:00:00","112 Building 11 Dubai Internet City 112 Building 11 Dubai Internet City Dubai 500830","AE","ykhalil@evosysglobal.com","971559907775",""
"11403","HANSA GREEN LED LIGHT TRADING LLC","Active","734657","05/19/2022 00:00:00","AL AHLI HOUSE-1OFFICE 202  AL NAHDA 2 81082","AE","sales@hansasales.com","97142344772","100351991300003"
"11404","Design Infinity LLC","Active","673381","07/04/2022 00:00:00","Ansar GalleryHamsah BuildingO Block2nd FloorOffice No 212KaramaDubai U.A.E.  Karama 62522","AE","geetha@design-infinity.com","971043795902","100010496600003"
"11405","SMS TRADING LLC","Active","603386","12/07/2021 00:00:00","Shop 1 Ground Floor Samar Tower Buhaira Corniche Al Majaz 3  Sharjah 45777","AE","nk@smstrading.org","97165307775","100357032000003"
"11406","Binsaifan","Active","514646","11/14/2016 00:00:00","BIN SAIFAN BLDG.CONT. P.O.BOX.25770 SHARJAH U.A.E FLAT#716 7TH FLOOR DIWAN BLDG.(DUBAI REAL ESTATE BLDG.)QASIMIA STREET AL QASIMIA 25770","AE","binsaifn@gmail.com","97165744713",""
"11407","Q2 General Cleaning Services L.L.C (GeoWash)","Active","617014","10/06/2016 00:00:00","Deira Port Saeed Al Owais Building 209  Dubai 93154","AE","info@q2wash.com","971503853270",""
"11408","Crown Consult","Active","592883","03/18/2017 00:00:00","Business Bay Aspect Tower  Dubai 79857","AE","info@crownconsult.ae","971044356002",""
"11409","Invent Creative Event Solutions FZ LLC","Active","18494","04/10/2021 00:00:00","Office 304 3rd Floor Makateb Building 4 International Media Production Zone  Dubai 30662","AE","info@invent-uae.com","971044278118",""
"11410","Hawk Solutions FZ LLC","Active","3845/2013","08/28/2016 00:00:00","502 - Mustafawi Business Center DIC Dubai 112665","AE","naseer@hawksol.com","97143922145","100218323200003"
"11411","AERIZO DMCC","Active","DMCC-087226","11/23/2021 00:00:00","2504 HDS Tower Cluster F JLT DUBAI 410386","AE","info@aerizome.com","97145546230","100347272500003"
"11412","Creative Word","Active","6170/2015","01/24/2024 00:00:00","Level 41 Emirates Towers Sheikh Zayed Road  Dubai 31303","AE","info@creativeword.ae","97143132832","100247352600003"
"11413","Securcorp","Active","539772","11/22/2017 00:00:00","P.O.Box 92929   Dubai 92929","AE","sales@securcorp.ae","","100322120500003"
"11423","Integrated Gas Services Co. L.L.C.","Active","506387","06/28/2017 00:00:00","One by Omniyat Unit no. 1404 Business Bay Dubai One by Omniyat Unit no. 1404 Business Bay Dubai Dubai 33961","AE","igsdubai@sergas.com","971444517773",""
"11424","SISCO STEEL CONTRACTING LLC","Active","508298","10/16/2021 00:00:00","Awazel BuildingManama Street Sisco Steel Contracting LLC Ras Al Khor Industrial Area 2 31956","AE","info@siscouae.com","97143475474","100054635600003"
"11426","July Flowers Trading LLC","Active","697962","11/09/2019 00:00:00","Shop No:7 Street No:28 Al Zubaithi Building Abu Hail.Near by Dubai old labour office Building.  Dubai 184244","AE","info@julyflowers.ae","97143373237","100223352000003"
"11427","Vision Valley FZ - LLC","Active","19596","10/31/2021 00:00:00","Office No. 214 Building 14Dubai Internet City  Dubai 500249","AE","projects@visionvalley.net","971044405600","100214363200003"
"11428","Utopia Furniture Trading LLC","Active","CN-1972836","05/02/2022 00:00:00","2nd floor 201 Mawaqif building Muroor St. 3rd floor 303 P-1055 building Muroor St. Abu Dhabi 109108","AE","info@utopiafurniture.me","971226501112","100339661900003"
"11430","ASSA ABLOY ENTRANCE SYSTEMS LLC","Active","241085","03/16/2022 00:00:00","PO Box 80983 DIP-1 DIP-1 DUBAI 80983","AE","info.ae.aaes@assaabloy.com","971048852888","100328237100003"
"11431","Faronics Information Technology Services","Active","521910","10/14/2016 00:00:00","Office 115 Al Moosa Business Center Oud Metha Dubai 103798","AE","murad@faronics.ae","971043355620",""
"11432","GlobalTech Safety & Environmental Consultancy","Active","555122","03/22/2022 00:00:00","Office 501 Al Nasr Plaza Office Building10th StreetOud Metha  Dubai 111010","AE","info@globaltech.ae","97143573337","100274673100003"
"11433","Integrated Feasibility Consultants & Studies(IFM)","Active","CN-1227634","05/09/2022 00:00:00","Abu Dhabi Rashid Bin Ewidah Building Lulu St 7th Floor  Abu Dhabi 31441","AE","info@ifmconsultants.com","97126986000","100054835200003"
"11434","Ipsos Stat (Emirates) LLC","Active","513819","09/18/2018 00:00:00","8th Floor Al Thuraya Tower 1 Dubai Media City  Dubai 71283","AE","thomas.mathews@ipsos.com","97144408980","100277826200003"
"11435","Al Malik General Ent","Active","777504","03/04/2019 00:00:00","Salahuddin Street Diera  Dubai 55498","AE","ag01@eim.ae","971507545834","100253097800003"
"11437","Boopin DMCC","Active","DMCC-195229","05/30/2023 00:00:00","Unit 2803 28th Floor JBC 1 Tower Cluster G Jumeirah Lakes Towers  Dubai 112587","AE","shadi@boopin.com","97144255365","100009074400003"
"11438","OP3 Design LLC","Active","610448","04/28/2022 00:00:00","Saih Shuaib 4 Dubai Industrial City  Dubai 78751","AE","chandeep@op3global.com","97142448242","100004058200003"
"11439","The White Boutique","Active","660177","10/21/2021 00:00:00","Villa 127 UmAl Sheif Road  Al Safa 2 71506","AE","contact@thewhitebtq.com","971434370699","100356236800003"
"11440","Direct Information Technology LLC","Active","506218","06/17/2022 00:00:00","1706 A City Tower 2 Sheikh Zayed Road  Dubai 122136","AE","ncharania@dit-dxb.com","97143860444","100351014400003"
"11441","E-Movers L.L.C","Active","628752","09/01/2022 00:00:00","warehouse 10 Behind Times Square Mall Al Quoz 2  Dubai 121268","AE","info@maidubaiwater.com","971043417042","100031257700003"
"11442","TFP GENERAL TRADING LLC","Active","662461","12/07/2021 00:00:00","The Furniture Practice Middle EastLevel 31Media One Hotel Tower Media City Oud Metha Dubai 502131","AE","rosie@tfp.ae","97143746040","100319523500003"
"11443","ASTREA GROUP TRADING W.L.L","Active","727477","02/18/2022 00:00:00","Warehouse146 Dry Dock Al Jaddaf Area  Dubai 2388090","AE","nael@astreagroup.com","9710521874753","100541942700003"
"11445","AL NASR DEMOLITION L.L.C","Active","233275","02/14/2022 00:00:00","AL SHAALI BUILDING FLAT NO: 202 BLOCK: B DAMASCUS STREET AL QUSAIS IND 1.  DUBAI 4872","AE","info@alnasrcd.com","971569515117","100343643100003"
"11446","al najma al fareeda intl building maintenance llc","Active","582261","06/05/2017 00:00:00","al rigga  deira 83808","AE","malika@alfareedagroupintl.com","97142954961",""
"11448","Global Business Services DMCC","Active","JLT-65593","06/01/2022 00:00:00","Unit No: 12A06 HDS Tower Plot No: JLT-PH1-F2A Jumeirah Lakes Towers  Dubai 309074","AE","vipul@vipulkothari.com","97144471804",""
"11451","ALQUDIS TECHNICAL WORKS L.L.C.","Active","709591","05/06/2017 00:00:00","Jumaa Building Al qusais Dubai 21415","AE","alqudis@yahoo.com","971042388600","100527066300003"
"11452","Amplify FZE","Active","5745/2014","10/26/2021 00:00:00","17 The Iridium Build Al Barsha  Dubai 215773","AE","abaluch@team-amplify.com","971506535547","100207950500003"
"11454","CREATIVE OUTLOOK DMCC","Active","DMCC-179046","08/11/2017 00:00:00","603 FORTUNE TOWER JLT 603 FORTUNE TOWER JLT DUBAI 282246","AE","info@creativegroupme.com","971444214608",""
"11455","The Knowledge Academy","Active","163874","12/31/2026 00:00:00","Al Rigga Street 29499 Deira  Dubai 95426","AE","info@theknowledgeacademy.com","9718000440772",""
"11456","METSCON IT Systems LLC","Active","606834","02/16/2022 00:00:00","207 Mohd. Abdulla Abdul Latif Al Mulla Bldg. #207/208 Mohd. Abdulla Abdul Latif Al Mulla Building (Same building as Lulu Center)Deira P O Box 45384 Dubai UAE Dubai 45384","AE","sales@atribs.com","97142977667","100000955300003"
"11457","LEAD DMCC","Active","33923","04/15/2017 00:00:00","HDS Tower Cluster F JLT Unit No 1802 HDS Tower Cluster (F) JLT Unit No. 1802 Dubai 127013","AE","M.shahin@leadmena.com","97144231020",""
"11458","Informa Middle East Limited Dubai Branch","Active","126878","11/30/2021 00:00:00","Level 20 Dubai World Trade Centre Tower Sheikh Zayed Road DUBAI 9428","AE","creditcontrol-mea@informa.com","97144072650","100030889800003"
"11460","BRAVE","Active","92419","08/31/2020 00:00:00","Building 8Ground Floor OfficesDubai Media City  Dubai 8203","AE","f.janin@brave-agency.com","971045519212","TRN 10038748470"
"11462","Smart Office Solutions L.L.C","Active","542457","04/02/2022 00:00:00","M-12 Business Avenue Building Sheikh Rashid Road Deira 49899","AE","sosest@eim.ae","971042958526","100265725000003"
"11463","MOTIVATE MEDIA GROUP","Active","241405","12/23/2021 00:00:00","MEDIA ONE HOTEL TOWER LEVEL 33-34 DUBAI MEDIA CITY DUBAI MEDIA CITY DUBAI 2331","AE","credit@motivate.ae","97144273000","100296843400003"
"11464","The Business Year FZ LLC","Active","20961","09/06/2016 00:00:00","Dubai Media City Building No. 10 Office 143  Dubai 502538","AE","finance@thebusinessyear.com","971503905436",""
"11465","Messe Frankfurt Exhibition GmbH","Active","535526","07/01/2018 00:00:00","Ludwig-Erhard-Anlage 160327 Frankfurt a. M.  Frankfurt 26761","AE","fazilat.un.nisa@uae.messefrankfurt.com","496975750","100070414600003"
"11466","The Emirates General Transport & Services Corpora","Active",".","10/31/2026 00:00:00","Al Rashidiya Al Ramool  Po 29192 The Emirates General TransportDubai Branch  Al Ramool Dubai 29192","AE","bibinve@et.ae","971042330694","100286013600003"
"11467","ITP Media Group FZ – LLC","Active","30006","12/31/2021 00:00:00","ITP building #14 Dubai Media City Dubai United Arab Emirates PO Box 500024  Dubai 500024","AE","billing@itp.com","97144443000","100020195200003"
"11468","SMART Management Training & Consultancy","Active","688657","05/13/2022 00:00:00","Diera Makateb Building  Dubai 78092","AE","info@smart-trainingdxb.com","9714255 5915","100262825100003"
"11470","PROMPT COMPUTERS LLC","Active","547954","10/11/2021 00:00:00","UMM RAMOOL RASHIDIYA UMM RAMOOL RASHIDIYA DUBAI 103590","AE","promptcp@eim.ae","97143538233","100293893200003"
"11471","The American Business Council of Dubai & the Northern Emirates","Active","BC 234858","05/06/2022 00:00:00","'ALMAS TOWER LEVEL 2 OFFICE D-09 JLT  Sheikh Zayed Road, Dubai 74648'","AE","admin@amchamdubai.org","97142420020","100350622500003"
"11472","Smart Vision For Information Systems","Active","1133185","03/07/2022 00:00:00","Abu Dhabi  Khalidia 1st Zayed Street  Kamala Tower  Abu Dhabi 109096","AE","info@smartv.ae","97126710170","100040046300003"
"11473","APPSLINK Consulting","Active","555422","03/29/2022 00:00:00","Office 2803 Fortune Tower Sheikh Zayed Road Jumeirah Lakes Towers  Dubai 391939","AE","info@appslink-me.com","971044356252","100049558800003"
"11474","NLME FZ LLC","Active","3338/2013","03/30/2019 00:00:00","Essa Al-Ghurair Investment Office BldgAl Quoz 3 Street 4  Dubai 391676","AE","info@nlmeconsultants.com","971544254971","100394463200003"
"11475","Barjeel Aerial Photography Services (BAPS)","Active","739630","08/03/2021 00:00:00","1302 Damas Tower Al Maktoum St. Deira Al Maktoum St. Deira Deira 53199","AE","barjeel@baps.ae","97142360876","100258508900003"
"11476","AG Facilities Solutions LLC","Active","748539","12/21/2021 00:00:00","ETA Star House Building  Dubai 283307","AE","agfs.uae@agfacilities.com","97146052500","100073373100003"
"11479","Door No 1 Events","Active","662853","12/17/2016 00:00:00","405 Al Saqr Business TowerSheikh Zayed road  Dubai 125283","AE","info@doorno1.com","971443526252",""
"11482","Digital World Computer Design LLC","Active","513164","07/13/2021 00:00:00","Al Shraifi Centre Ground Floor Shop No 25 Kuwait Street Al Karama Dubai UAE  Dubai 82790","AE","vinesh@digitalworldgroup.com","971529223067","100289521500003"
"11485","monaco exhibitions technical services l.l.c","Active","576845","01/22/2022 00:00:00","P.O. BOX 116673 P.O. BOX 116673 DUBAI 116673","AE","maya@monaco.ae","971558357326","100246179400003"
"11487","MEED Media FZ LLC","Active","18693","11/30/2016 00:00:00","20th Floor Dubai Media City Al Thuraya Tower Dubai 25960","AE","meed.receivables@meed.com","971048180200",""
"11488","Zurich Transport LLC","Active","689574","05/28/2017 00:00:00","FLAT 106 AL AHBABI BLDG DAMASCUS STREET AL QUSAIS 2 FLAT 106 AL AHBABI BLDG DAMASCUS STREET AL QUSAID 2 DUBAI 235109","AE","zurichtr@eim.ae","971442635388",""
"11489","GE Healthcare FZE","Active","522594","11/18/2016 00:00:00","Dubai Internet City  Dubai 74594","AE","khalid.alamoudi@ge.com","9710528007434",""
"11490","BENE Middle East","Active","94153","05/10/2022 00:00:00","D3-Dubai Design District Blgd.2 Office 208.  Dubai 33861","AE","juergen.loeschenkohl@bene.com","97145687131","100426025100003"
"11491","Morgan Coles Personnel Solutions","Active","076269","09/26/2016 00:00:00","Office 3904 Mazaya Business Avenue BB2 JLT  Dubai 19186","AE","info@morgancoles.com","971505517665",""
"11493","Epic Recruitment Services L.L.C","Active","CN-1291270","10/23/2021 00:00:00","The View Tower Sultan Bin Zayed The First Street  Abu Dhabi 768","AE","info@epicrecruitment.ae","97126770094","100258814100003"
"11494","iSupply Group","Active","748507","12/20/2017 00:00:00","API Trio Office Tower 23rd floor #2301 Al Basrha 1 Dubai 71973","AE","info@isupplygroup.com","97143999726",""
"11495","Infotiz Solutions LLC","Active","664170","01/02/2017 00:00:00","#104 Al Rostamani Bldg Al Qouz  Dubai 43866","AE","itz@infotiz.com","97143266763",""
"11496","ETISALAT","Active","1/2006","05/09/2025 00:00:00","ENTERPRISE SALES -GOVT TEAMALKIFAF BUILDG LEVEL 3ALJAFILIYA AREA  DUBAI 93939","AE","KTAHA@ETISALAT.AE","97142025761",""
"11500","Pinnacle Public Relations","Active","18547","07/13/2017 00:00:00","International School of Communication Loft Office 2C - Office 408  Dubai Media City  PO Box 502176 Dubai UAE Dubai media city Al Sufouh Dubai 502176","AE","dubai@isoc.com","97144464824",""
"11502","NETS-International","Active","617576","10/15/2016 00:00:00","Office # 302 Sobha Sapphire Business Bay Sheikh Zayed Road  Dubai 50082","AE","naveed.butt@nets-international.com","97144473229",""
"11503","Select Training and Management Consultancy L.L.C","Active","671694","06/04/2020 00:00:00","Office 117 Al Attar Business Centre Sheikh Zayed Road Al Barsha 1  Dubai 334058","AE","jessa@selectgroup.ae","971042566414","100003031000003"
"11504","CREDO Technology Services","Active","638299","04/21/2017 00:00:00","Office-104 Block B Al Shaali Building Damascus Street AlQusais-2  Dubai 47692","AE","Kazmi@credots.com","971042511059",""
"11507","Spanish Business Council","Active","BC239698","04/27/2022 00:00:00","Business Center at the Spanish Economic and Commercial Office Emirates Towers Level 26  DUBAI 504929","AE","membership@spanishbusinesscouncil.ae","97143300110","100360304800003"
"11508","Brands Co Advertising LLC","Active","761884","07/09/2017 00:00:00","Hamsah Building Block-A Office No: 312-21 3rd Floor Zabeel Road Karama Dubai 128782","AE","ramesh@brandscogroup.com","97143124849",""
"11509","Protiviti KnowledgeLeader","Active","04-3661951","09/01/2017 00:00:00","2884 Sand Hill Rd. Suite 200 Menlo Park -","US","knowledgeleader@protiviti.com","14154023610",""
"11510","Red Event Services LLC","Active","243227","08/28/2021 00:00:00","Warehouse #6 and 7 Al Qouz Industrial Area 3  Dubai 125778","AE","teamred@redeventspro.com","971043416288","100362347500003"
"11511","Pansoft FZ LLC","Active","2068/2011","12/27/2016 00:00:00","Office 430 Building B Al Saaha Offices - Souq Al Bahar Burj Khalifa District Dubai UAE.  Dubai 31303","AE","sameer@pansoftds.com","971043197325",""
"11512","Turjman Legal Translation Serivses","Active","536561","08/09/2021 00:00:00","Bur DubaiEnd of Khalid Bin Alwaleed St.FNC Bldg.First flooroffice No.B  Dubai 72265","AE","w.ehab@turjman.net","97143932227","100395712100003"
"11513","Maritime & Mercantile International Travel LLC","Active","586446","09/07/2021 00:00:00","dnata Travel Centre Sheikh Zayed Rd  Dubai 1515","AE","corporate@mmitravel.ae","97143166612","100056630500003"
"11515","Asahi International FZCO","Active","3033","10/19/2020 00:00:00","6WB G33 DAFZ  Dubai 371656","AE","asahi_bt@eim.ae","971561658833","100058859800003"
"11516","Pro Design","Active","525548","04/09/2022 00:00:00","110 Hilal Bin Tarraf Building  Sheikh Zayed Road  Dubai 212825","AE","habeeb.rahman@prodesign.ws","971507666849","100067686400003"
"11517","WAVTEQ Limited","Active","1408757","01/05/2026 00:00:00","BLK A 15F Hillier Comm. Bldg 65-67 Bonham Strand East Sheung Wan HK","HK","caroline.mckeown@wavteq.com","85244289099 7559",""
